date,BASIC INDUSTRIES MOVE-AVG,HEALTH CARE MOVE-AVG,CONSUMER DURABLES MOVE-AVG,TECHNOLOGY MOVE-AVG,CONSUMER SERVICES MOVE-AVG,ENERGY MOVE-AVG,MISCELLANEOUS MOVE-AVG,FINANCE MOVE-AVG,CONSUMER NON-DURABLES MOVE-AVG,CAPITAL GOODS MOVE-AVG,PUBLIC UTILITIES MOVE-AVG,TRANSPORTATION MOVE-AVG
2005-10-07,983690.3204142058,938273.9621747893,432433.82596323645,2823107.5108239236,1022120.1861669535,2098470.2262045415,1119107.4260524996,444952.1457799722,1020337.6851761795,686668.1454399583,895726.2546678367,860050.7398509864
2005-10-10,982423.1093104095,940475.4118677396,432965.3092876524,2821030.6965012946,1020563.114504277,2104096.066685858,1115973.6958937694,444183.8299585942,1018922.0065073436,687537.904129066,894442.1925327837,856146.5260667072
2005-10-11,987695.8044867966,945021.6878039563,436988.4051702342,2836689.663777607,1024808.2892835531,2112469.3581973184,1114515.417571957,445078.4070968836,1017803.3179428666,690373.194444844,896944.4284051989,855950.9014734356
2005-10-12,992216.0164774059,953088.4522790255,439364.4801104372,2848368.3695795615,1028478.9111947863,2110482.9609845504,1111636.1771939378,446891.5503132523,1017339.1826326022,692889.9452071553,900820.4054860916,853836.4618704339
2005-10-13,998861.9915914732,955788.7208632804,441712.7560621696,2868904.2406635596,1033415.0710985968,2132798.1331457226,1113757.6188944606,449904.7440186332,1020755.9581936907,697231.8081298198,906738.4883006988,850411.3090315206
2005-10-14,1004568.4428642382,959093.1896115796,444689.0553567023,2880856.9818899613,1038244.2390973812,2156799.2970128437,1114947.578755257,451818.25488067546,1020957.7524437292,701768.0479331848,912520.2749551786,852841.7278657209
2005-10-17,999333.578639225,959787.2213456266,444748.93052999297,2866519.028300137,1038033.1829640062,2164675.6496006274,1114904.86624381,451469.2263190625,1019638.6046689124,701246.6347776722,914369.7345049244,847765.1910691841
2005-10-18,996251.1818245386,954579.8385219518,445458.31123466766,2855292.34851012,1038841.8855556977,2184105.0913921692,1105719.929208711,451825.8671788865,1013320.5932050674,698598.6884625388,916936.3292545852,838448.0447234663
2005-10-19,997618.8790691459,957100.0112300261,446801.75214569364,2856074.4996002335,1044567.997067913,2199783.6504571782,1055745.5774916778,454731.47167309903,1009736.9958664475,699870.6887560091,922986.7849035115,830888.8465142681
2005-10-20,1003763.6160003892,964007.3367697293,445674.3649579863,2876401.8460535505,1051180.5574045223,2218340.333117111,1066238.9710470808,458423.7196657287,1005648.5772122708,704879.6622417137,928911.9334606263,836039.3763415836
